-1.387778780781445676e-16  -1.129739970306434249e-02  -2.257226396758171827e-02  -3.382459082490832381e-02  -4.505437830640190988e-02
-5.626162444342294733e-02  -6.744632726732660566e-02  -7.860848480947060790e-02  -8.974809510121364853e-02  -1.008651561739127289e-01
-1.119596660589290693e-01  -1.230316227876160629e-01  -1.340810243913324040e-01  -1.451078689014385636e-01  -1.561121543492896002e-01
-1.670938787662443192e-01  -1.780530401836604160e-01  -1.889896366328956967e-01  -1.999036661453070796e-01  -2.107951267522532590e-01
-2.216640164850929295e-01  -2.325103333751820656e-01  -2.433340754538793616e-01  -2.541352407525435120e-01  -2.649138273025305468e-01
-2.756698331351982167e-01  -2.864032562819052719e-01  -2.971140947740094074e-01  -3.078023466428703170e-01  -3.184680099198420877e-01
-3.291110826362844133e-01  -3.397315628235550444e-01  -3.503294485130117875e-01  -3.609047377360132813e-01  -3.714574285239156115e-01
-3.819875189080774169e-01  -3.924950069198556157e-01  -4.029798905906106232e-01  -4.134421679516967485e-01  -4.238818370344734632e-01
-4.342988958702995728e-01  -4.446933424905302190e-01  -4.550651749265265944e-01  -4.654143912096430635e-01  -4.757409893712399862e-01
-4.860449674426743916e-01  -4.963263234553039749e-01  -5.065850554404857098e-01  -5.168211614295799006e-01  -5.270346394539410229e-01
-5.372254875449284928e-01  -5.473937037339010603e-01  -5.575392860522146998e-01  -5.676622325312271622e-01  -5.777625412022989737e-01
-5.878402100967844435e-01  -5.978952372460438758e-01  -6.079276206814351324e-01  -6.179373584343116343e-01  -6.279244485360363504e-01
-6.378888890179672533e-01  -6.478306779114584302e-01  -6.577498132478686310e-01  -6.676462930585582711e-01  -6.775201153748825478e-01
-6.873712782281993228e-01  -6.971997796498687894e-01  -7.070056176712454787e-01  -7.167887903236888070e-01  -7.265492956385574130e-01
-7.362871316472083816e-01  -7.460022963809975760e-01  -7.556947878712862998e-01  -7.653646041494298613e-01  -7.750117432467868994e-01
-7.846362031947141658e-01  -7.942379820245714095e-01  -8.038170777677136059e-01  -8.133734884555031686e-01  -8.229072121192950728e-01
-8.324182467904445160e-01  -8.419065905003128014e-01  -8.513722412802569028e-01  -8.608151971616345710e-01  -8.702354561758035567e-01
